Price hub,Trade date,Delivery start date,"Delivery 
end date",High price $/MWh,Low price $/MWh,Wtd avg price $/MWh,Change,Daily volume MWh,Number of trades,Number of counterparties
Mid C Peak,12/30/2021 0:00,1/3/2022 0:00,1/3/2022 0:00,59,54.75,56.15,-9.78,18800,46,11
SP15 EZ Gen DA LMP Peak,12/30/2021 0:00,1/3/2022 0:00,1/3/2022 0:00,72,70,71.64,0.59,5600,14,10
Nepool MH DA LMP Peak,12/30/2021 0:00,12/31/2021 0:00,12/31/2021 0:00,39.65,39.65,39.65,-4.68,800,1,2
PJM WH Real Time Peak,12/31/2021 0:00,1/3/2022 0:00,1/3/2022 0:00,53.7,52,52.71,22.52,5600,7,11
Nepool MH DA LMP Peak,12/31/2021 0:00,1/3/2022 0:00,1/3/2022 0:00,95,95,95,55.35,800,1,2
NP15 EZ Gen DA LMP Peak,1/3/2022 0:00,1/4/2022 0:00,1/4/2022 0:00,70,70,70,8,400,1,2
Mid C Peak,1/3/2022 0:00,1/4/2022 0:00,1/4/2022 0:00,62,54,56.71,0.56,12000,29,10
SP15 EZ Gen DA LMP Peak,1/3/2022 0:00,1/4/2022 0:00,1/4/2022 0:00,66,65,65.5,-6.14,800,2,3
PJM WH Real Time Peak,1/3/2022 0:00,1/4/2022 0:00,1/4/2022 0:00,65.5,56,59.51,6.8,31200,37,29
Nepool MH DA LMP Peak,1/3/2022 0:00,1/4/2022 0:00,1/4/2022 0:00,87,85,86.2,-8.8,8000,10,10
Palo Verde Peak,1/3/2022 0:00,1/4/2022 0:00,1/4/2022 0:00,55,50,52.38,-0.97,1600,4,5
Nepool MH DA LMP Peak,1/4/2022 0:00,1/5/2022 0:00,1/5/2022 0:00,82.5,79,80.1,-6.1,20800,26,14
Palo Verde Peak,1/4/2022 0:00,1/5/2022 0:00,1/5/2022 0:00,47,45.5,46.13,-6.25,4800,12,12
PJM WH Real Time Peak,1/4/2022 0:00,1/5/2022 0:00,1/5/2022 0:00,56,50,52.79,-6.72,32800,40,28
SP15 EZ Gen DA LMP Peak,1/4/2022 0:00,1/5/2022 0:00,1/5/2022 0:00,60.25,60,60.14,-5.36,7600,19,9
Mid C Peak,1/4/2022 0:00,1/5/2022 0:00,1/5/2022 0:00,61,55,59.66,2.95,13200,33,11
Indiana Hub RT Peak,1/4/2022 0:00,1/5/2022 0:00,1/5/2022 0:00,50,50,50,-11,800,1,2
Mid C Peak,1/5/2022 0:00,1/6/2022 0:00,1/6/2022 0:00,51,47,48.39,-11.27,11200,28,12
Palo Verde Peak,1/5/2022 0:00,1/6/2022 0:00,1/6/2022 0:00,39,38,38.82,-7.31,4400,11,9
SP15 EZ Gen DA LMP Peak,1/5/2022 0:00,1/6/2022 0:00,1/6/2022 0:00,60,60,60,-0.14,1600,4,3
PJM WH Real Time Peak,1/5/2022 0:00,1/6/2022 0:00,1/6/2022 0:00,68.5,62,64.85,12.06,23200,27,22
Indiana Hub RT Peak,1/5/2022 0:00,1/6/2022 0:00,1/6/2022 0:00,70,68,69,19,4800,6,6
NP15 EZ Gen DA LMP Peak,1/5/2022 0:00,1/6/2022 0:00,1/6/2022 0:00,64,64,64,-6,2400,6,3
Nepool MH DA LMP Peak,1/5/2022 0:00,1/6/2022 0:00,1/6/2022 0:00,105,95,100.77,20.67,17600,22,16
Nepool MH DA LMP Peak,1/6/2022 0:00,1/7/2022 0:00,1/7/2022 0:00,175,163,166.63,65.86,15200,19,11
Indiana Hub RT Peak,1/6/2022 0:00,1/7/2022 0:00,1/7/2022 0:00,81.5,81.5,81.5,12.5,1600,2,3
Palo Verde Peak,1/6/2022 0:00,1/7/2022 0:00,1/8/2022 0:00,39.25,36,36.3,-2.52,8800,11,8
SP15 EZ Gen DA LMP Peak,1/6/2022 0:00,1/7/2022 0:00,1/8/2022 0:00,48,47,47.5,-12.5,3200,3,5
PJM WH Real Time Peak,1/6/2022 0:00,1/7/2022 0:00,1/7/2022 0:00,105,80,98.32,33.47,36800,46,27
Mid C Peak,1/6/2022 0:00,1/7/2022 0:00,1/8/2022 0:00,37,36,36.47,-11.92,17600,22,10
Mid C Peak,1/7/2022 0:00,1/10/2022 0:00,1/10/2022 0:00,63,52,59.06,22.59,23600,59,16
SP15 EZ Gen DA LMP Peak,1/7/2022 0:00,1/10/2022 0:00,1/10/2022 0:00,62,58,59.56,12.06,3600,9,6
Palo Verde Peak,1/7/2022 0:00,1/10/2022 0:00,1/10/2022 0:00,51,50,50.2,13.9,2000,4,4
Indiana Hub RT Peak,1/7/2022 0:00,1/10/2022 0:00,1/10/2022 0:00,75,75,75,-6.5,800,1,2
PJM WH Real Time Peak,1/7/2022 0:00,1/10/2022 0:00,1/10/2022 0:00,84,69.75,75.47,-22.85,40800,49,28
Nepool MH DA LMP Peak,1/10/2022 0:00,1/11/2022 0:00,1/11/2022 0:00,184,175,178.85,12.22,16800,20,8
SP15 EZ Gen DA LMP Peak,1/10/2022 0:00,1/11/2022 0:00,1/11/2022 0:00,55.25,55,55.05,-4.51,6000,13,11
Mid C Peak,1/10/2022 0:00,1/11/2022 0:00,1/11/2022 0:00,44,42,43.25,-15.81,18400,46,14
PJM WH Real Time Peak,1/10/2022 0:00,1/11/2022 0:00,1/11/2022 0:00,116,78.5,86.24,10.77,36000,44,28
Palo Verde Peak,1/10/2022 0:00,1/11/2022 0:00,1/11/2022 0:00,43,41,42.17,-8.03,3600,9,8
SP15 EZ Gen DA LMP Peak,1/11/2022 0:00,1/12/2022 0:00,1/12/2022 0:00,51,51,51,-4.05,1600,4,4
PJM WH Real Time Peak,1/11/2022 0:00,1/12/2022 0:00,1/12/2022 0:00,58,52,54.35,-31.89,13600,16,13
Mid C Peak,1/11/2022 0:00,1/12/2022 0:00,1/12/2022 0:00,39.75,38.5,39.19,-4.06,9600,24,6
Nepool MH DA LMP Peak,1/11/2022 0:00,1/12/2022 0:00,1/12/2022 0:00,165,151,154.74,-24.11,20000,19,11
Palo Verde Peak,1/11/2022 0:00,1/12/2022 0:00,1/12/2022 0:00,45,42.95,43.93,1.76,1600,4,7
PJM WH Real Time Peak,1/12/2022 0:00,1/13/2022 0:00,1/13/2022 0:00,47.5,47,47.17,-7.18,12000,13,12
NP15 EZ Gen DA LMP Peak,1/12/2022 0:00,1/13/2022 0:00,1/14/2022 0:00,59,59,59,-5,2400,3,2
Nepool MH DA LMP Peak,1/12/2022 0:00,1/13/2022 0:00,1/13/2022 0:00,159,155,156.33,1.59,16800,21,10
SP15 EZ Gen DA LMP Peak,1/12/2022 0:00,1/13/2022 0:00,1/14/2022 0:00,58,56,57.11,6.11,11200,14,9
Palo Verde Peak,1/12/2022 0:00,1/13/2022 0:00,1/14/2022 0:00,38,33,36.57,-7.36,5600,7,6
Mid C Peak,1/12/2022 0:00,1/13/2022 0:00,1/14/2022 0:00,39,36.5,38.37,-0.82,31200,39,13
PJM WH Real Time Peak,1/13/2022 0:00,1/14/2022 0:00,1/14/2022 0:00,65.95,62,62.61,15.44,10400,13,14
Palo Verde Peak,1/13/2022 0:00,1/15/2022 0:00,1/15/2022 0:00,31,31,31,-5.57,1200,3,4
Mid C Peak,1/13/2022 0:00,1/15/2022 0:00,1/15/2022 0:00,38,36.25,37.54,-0.83,11600,29,13
SP15 EZ Gen DA LMP Peak,1/13/2022 0:00,1/15/2022 0:00,1/15/2022 0:00,52,48,50,-7.11,800,2,3
Nepool MH DA LMP Peak,1/13/2022 0:00,1/14/2022 0:00,1/14/2022 0:00,190,180,185.33,29,4800,6,6
Palo Verde Peak,1/14/2022 0:00,1/17/2022 0:00,1/18/2022 0:00,35,33.75,34.63,3.63,4800,6,8
SP15 EZ Gen DA LMP Peak,1/14/2022 0:00,1/17/2022 0:00,1/18/2022 0:00,50,49.5,49.75,-0.25,1600,2,3
Mid C Peak,1/14/2022 0:00,1/17/2022 0:00,1/18/2022 0:00,39.5,38,38.87,1.33,36000,44,13
PJM WH Real Time Peak,1/17/2022 0:00,1/18/2022 0:00,1/18/2022 0:00,89,85,87.43,24.82,6400,7,13
SP15 EZ Gen DA LMP Peak,1/18/2022 0:00,1/19/2022 0:00,1/19/2022 0:00,53.25,53.25,53.25,3.5,1600,4,3
Nepool MH DA LMP Peak,1/18/2022 0:00,1/19/2022 0:00,1/19/2022 0:00,154,150,151.54,-33.79,22400,28,13
Palo Verde Peak,1/18/2022 0:00,1/19/2022 0:00,1/19/2022 0:00,40,40,40,5.37,800,2,3
Mid C Peak,1/18/2022 0:00,1/19/2022 0:00,1/19/2022 0:00,42.75,38.5,39.65,0.78,29200,69,15
PJM WH Real Time Peak,1/18/2022 0:00,1/19/2022 0:00,1/19/2022 0:00,60,57,57.76,-29.67,24800,30,17
Indiana Hub RT Peak,1/19/2022 0:00,1/20/2022 0:00,1/20/2022 0:00,85,80,83.93,8.93,5600,7,8
PJM WH Real Time Peak,1/19/2022 0:00,1/20/2022 0:00,1/20/2022 0:00,99,79,86.98,29.22,31200,39,21
Palo Verde Peak,1/19/2022 0:00,1/20/2022 0:00,1/20/2022 0:00,40,37,37.75,-2.25,1600,4,5
Mid C Peak,1/19/2022 0:00,1/20/2022 0:00,1/20/2022 0:00,29.75,25.5,28,-11.65,26400,66,17
SP15 EZ Gen DA LMP Peak,1/19/2022 0:00,1/20/2022 0:00,1/20/2022 0:00,51,50,50.37,-2.88,12000,28,13
Nepool MH DA LMP Peak,1/19/2022 0:00,1/20/2022 0:00,1/20/2022 0:00,177,175,175.44,23.9,7200,9,10
NP15 EZ Gen DA LMP Peak,1/19/2022 0:00,1/20/2022 0:00,1/20/2022 0:00,51.5,51,51.17,-7.83,1200,3,4
Mid C Peak,1/20/2022 0:00,1/21/2022 0:00,1/22/2022 0:00,39,35,36.73,8.73,30400,35,10
Indiana Hub RT Peak,1/20/2022 0:00,1/21/2022 0:00,1/21/2022 0:00,87,85,85.8,1.87,4000,5,5
PJM WH Real Time Peak,1/20/2022 0:00,1/21/2022 0:00,1/21/2022 0:00,170.5,130,140.61,53.63,48800,59,25
Palo Verde Peak,1/20/2022 0:00,1/21/2022 0:00,1/22/2022 0:00,33,32,32.5,-5.25,3200,4,5
Nepool MH DA LMP Peak,1/20/2022 0:00,1/21/2022 0:00,1/21/2022 0:00,200,187,193.78,18.34,14400,18,12
Mid C Peak,1/21/2022 0:00,1/24/2022 0:00,1/24/2022 0:00,38,34,36.28,-0.45,14800,33,15
Palo Verde Peak,1/21/2022 0:00,1/24/2022 0:00,1/24/2022 0:00,35,33,34,1.5,2000,5,4
PJM WH Real Time Peak,1/21/2022 0:00,1/24/2022 0:00,1/24/2022 0:00,90,80.5,86.75,-53.86,7200,8,8
Palo Verde Peak,1/24/2022 0:00,1/25/2022 0:00,1/25/2022 0:00,38,36,37.79,3.79,5600,14,9
Nepool MH DA LMP Peak,1/24/2022 0:00,1/25/2022 0:00,1/25/2022 0:00,173,170,172.54,-21.24,16000,20,11
PJM WH Real Time Peak,1/24/2022 0:00,1/25/2022 0:00,1/25/2022 0:00,60,55,56.55,-30.2,27200,34,15
Mid C Peak,1/24/2022 0:00,1/25/2022 0:00,1/25/2022 0:00,41.5,38,38.81,2.53,14000,35,14
Palo Verde Peak,1/25/2022 0:00,1/26/2022 0:00,1/26/2022 0:00,42,41,41.33,3.54,2400,6,7
SP15 EZ Gen DA LMP Peak,1/25/2022 0:00,1/26/2022 0:00,1/26/2022 0:00,48.5,48.5,48.5,-1.87,1200,3,3
Nepool MH DA LMP Peak,1/25/2022 0:00,1/26/2022 0:00,1/26/2022 0:00,203,191.5,194.36,21.82,20000,25,13
PJM WH Real Time Peak,1/25/2022 0:00,1/26/2022 0:00,1/26/2022 0:00,114,100,106.86,50.31,23200,29,22
Mid C Peak,1/25/2022 0:00,1/26/2022 0:00,1/26/2022 0:00,42,40,41.31,2.5,12000,30,16
Indiana Hub RT Peak,1/25/2022 0:00,1/26/2022 0:00,1/26/2022 0:00,70,70,70,-15.8,800,1,2
Nepool MH DA LMP Peak,1/26/2022 0:00,1/27/2022 0:00,1/27/2022 0:00,181.5,174,176.85,-17.51,13600,17,14
SP15 EZ Gen DA LMP Peak,1/26/2022 0:00,1/27/2022 0:00,1/27/2022 0:00,47.75,46.75,46.92,-1.58,4800,12,7
Palo Verde Peak,1/26/2022 0:00,1/27/2022 0:00,1/27/2022 0:00,42,40,40.29,-1.04,2800,7,7
Mid C Peak,1/26/2022 0:00,1/27/2022 0:00,1/27/2022 0:00,42,40,40.71,-0.6,11600,27,11
PJM WH Real Time Peak,1/26/2022 0:00,1/27/2022 0:00,1/27/2022 0:00,92.5,80,84.48,-22.38,20800,26,22
PJM WH Real Time Peak,1/27/2022 0:00,1/28/2022 0:00,1/28/2022 0:00,65.75,59.5,62.87,-21.61,25600,32,15
Nepool MH DA LMP Peak,1/27/2022 0:00,1/28/2022 0:00,1/28/2022 0:00,170,168,168.95,-7.9,16800,21,13
SP15 EZ Gen DA LMP Peak,1/27/2022 0:00,1/28/2022 0:00,1/29/2022 0:00,45,45,45,-1.92,3200,4,3
Indiana Hub RT Peak,1/27/2022 0:00,1/28/2022 0:00,1/28/2022 0:00,63,60,61.38,-8.62,4800,6,6
Palo Verde Peak,1/27/2022 0:00,1/28/2022 0:00,1/29/2022 0:00,38,37.5,37.93,-2.36,5600,7,6
Mid C Peak,1/27/2022 0:00,1/28/2022 0:00,1/29/2022 0:00,39.75,37.25,38.64,-2.07,20000,25,14
SP15 EZ Gen DA LMP Peak,1/28/2022 0:00,1/31/2022 0:00,1/31/2022 0:00,52.75,51.5,52.23,7.23,13200,18,11
NP15 EZ Gen DA LMP Peak,1/28/2022 0:00,1/31/2022 0:00,1/31/2022 0:00,53.75,53.5,53.63,2.46,800,2,2
PJM WH Real Time Peak,1/28/2022 0:00,1/31/2022 0:00,1/31/2022 0:00,90,85,88.09,25.22,11200,14,15
Mid C Peak,1/28/2022 0:00,1/31/2022 0:00,1/31/2022 0:00,38,35,37.22,-1.42,11200,28,12
Palo Verde Peak,1/28/2022 0:00,1/31/2022 0:00,1/31/2022 0:00,40,35,37.78,-0.15,3600,9,8
Palo Verde Peak,1/31/2022 0:00,2/1/2022 0:00,2/1/2022 0:00,59,55,56.58,18.8,4800,12,10
NP15 EZ Gen DA LMP Peak,1/31/2022 0:00,2/1/2022 0:00,2/1/2022 0:00,53,52.75,52.83,-0.8,4800,12,6
Nepool MH DA LMP Peak,1/31/2022 0:00,2/1/2022 0:00,2/1/2022 0:00,178,175,176.17,7.22,4800,6,7
Mid C Peak,1/31/2022 0:00,2/1/2022 0:00,2/1/2022 0:00,48,46,46.73,9.51,12400,31,14
PJM WH Real Time Peak,1/31/2022 0:00,2/1/2022 0:00,2/1/2022 0:00,73,69,70.98,-17.11,12800,16,17
SP15 EZ Gen DA LMP Peak,1/31/2022 0:00,2/1/2022 0:00,2/1/2022 0:00,53,52,52.06,-0.17,14000,32,11
SP15 EZ Gen DA LMP Peak,2/1/2022 0:00,2/2/2022 0:00,2/2/2022 0:00,60,54,55.54,3.48,20000,35,11
Palo Verde Peak,2/1/2022 0:00,2/2/2022 0:00,2/2/2022 0:00,55,51,52.75,-3.83,1600,4,4
Nepool MH DA LMP Peak,2/1/2022 0:00,2/2/2022 0:00,2/2/2022 0:00,155,152,153.89,-22.28,21600,26,15
Mid C Peak,2/1/2022 0:00,2/2/2022 0:00,2/2/2022 0:00,55,50,51.79,5.06,18400,46,14
PJM WH Real Time Peak,2/1/2022 0:00,2/2/2022 0:00,2/2/2022 0:00,55,52,53.63,-17.35,17600,22,17
NP15 EZ Gen DA LMP Peak,2/1/2022 0:00,2/2/2022 0:00,2/2/2022 0:00,56.5,56.5,56.5,3.67,1600,4,4
Nepool MH DA LMP Peak,2/2/2022 0:00,2/3/2022 0:00,2/3/2022 0:00,155,145,152.22,-1.67,24000,30,16
Indiana Hub RT Peak,2/2/2022 0:00,2/3/2022 0:00,2/3/2022 0:00,85,82,83.67,22.29,2400,3,4
Palo Verde Peak,2/2/2022 0:00,2/3/2022 0:00,2/3/2022 0:00,80,77,79.5,26.75,2400,6,7
PJM WH Real Time Peak,2/2/2022 0:00,2/3/2022 0:00,2/3/2022 0:00,70.25,62.5,64.79,11.16,4800,6,8
Mid C Peak,2/2/2022 0:00,2/3/2022 0:00,2/3/2022 0:00,60,57,58.39,6.6,16800,42,18
SP15 EZ Gen DA LMP Peak,2/2/2022 0:00,2/3/2022 0:00,2/3/2022 0:00,90,75,80.09,24.55,17600,44,17
Palo Verde Peak,2/3/2022 0:00,2/4/2022 0:00,2/5/2022 0:00,61,55,59,-20.5,8000,10,7
PJM WH Real Time Peak,2/3/2022 0:00,2/4/2022 0:00,2/4/2022 0:00,68,62,65.71,0.92,12000,15,11
Nepool MH DA LMP Peak,2/3/2022 0:00,2/4/2022 0:00,2/4/2022 0:00,180,174,177.42,25.2,9600,12,9
Mid C Peak,2/3/2022 0:00,2/4/2022 0:00,2/5/2022 0:00,40,37.5,38.18,-20.21,14400,18,10
Indiana Hub RT Peak,2/3/2022 0:00,2/4/2022 0:00,2/4/2022 0:00,79,79,79,-4.67,800,1,2
SP15 EZ Gen DA LMP Peak,2/3/2022 0:00,2/4/2022 0:00,2/5/2022 0:00,60,53,55.25,-24.84,11200,14,11
PJM WH Real Time Peak,2/4/2022 0:00,2/7/2022 0:00,2/7/2022 0:00,78,74,75.67,9.96,9600,12,11
SP15 EZ Gen DA LMP Peak,2/4/2022 0:00,2/7/2022 0:00,2/7/2022 0:00,49.5,49.5,49.5,-5.75,400,1,2
Nepool MH DA LMP Peak,2/4/2022 0:00,2/7/2022 0:00,2/7/2022 0:00,172,172,172,-5.42,800,1,2
Mid C Peak,2/4/2022 0:00,2/7/2022 0:00,2/7/2022 0:00,37,34.75,35.45,-2.73,10000,25,15
Palo Verde Peak,2/4/2022 0:00,2/7/2022 0:00,2/7/2022 0:00,48,46,47,-12,800,2,3
NP15 EZ Gen DA LMP Peak,2/4/2022 0:00,2/7/2022 0:00,2/7/2022 0:00,51,48.5,49.13,-7.37,1600,4,4
SP15 EZ Gen DA LMP Peak,2/7/2022 0:00,2/8/2022 0:00,2/8/2022 0:00,39.5,39.5,39.5,-10,1600,4,3
PJM WH Real Time Peak,2/7/2022 0:00,2/8/2022 0:00,2/8/2022 0:00,55.2,53,54.48,-21.19,9600,12,10
Palo Verde Peak,2/7/2022 0:00,2/8/2022 0:00,2/8/2022 0:00,35,35,35,-12,1200,3,4
Mid C Peak,2/7/2022 0:00,2/8/2022 0:00,2/8/2022 0:00,37.5,35,36.8,1.35,9600,24,9
Nepool MH DA LMP Peak,2/7/2022 0:00,2/8/2022 0:00,2/8/2022 0:00,138,127.5,129.77,-42.23,19200,24,16
Nepool MH DA LMP Peak,2/9/2022 0:00,2/10/2022 0:00,2/10/2022 0:00,85,77,80.11,-29.04,12800,16,8
PJM WH Real Time Peak,2/9/2022 0:00,2/10/2022 0:00,2/10/2022 0:00,41,39.5,40.25,-4.43,18400,21,16
Mid C Peak,2/9/2022 0:00,2/10/2022 0:00,2/10/2022 0:00,31,29.5,30.5,-4.88,7200,18,10
Palo Verde Peak,2/9/2022 0:00,2/10/2022 0:00,2/10/2022 0:00,34,31,32,-6.89,1200,3,5
SP15 EZ Gen DA LMP Peak,2/9/2022 0:00,2/10/2022 0:00,2/10/2022 0:00,37,37,37,-4.33,400,1,2
Palo Verde Peak,2/10/2022 0:00,2/11/2022 0:00,2/12/2022 0:00,26.5,26,26.36,-5.64,7200,9,7
Mid C Peak,2/10/2022 0:00,2/11/2022 0:00,2/12/2022 0:00,31,28.25,29.79,-0.71,20000,25,13
Nepool MH DA LMP Peak,2/10/2022 0:00,2/11/2022 0:00,2/11/2022 0:00,51,47.5,48.61,-31.5,22400,28,17
SP15 EZ Gen DA LMP Peak,2/10/2022 0:00,2/11/2022 0:00,2/12/2022 0:00,34.5,34.5,34.5,-2.5,800,1,2
PJM WH Real Time Peak,2/10/2022 0:00,2/11/2022 0:00,2/11/2022 0:00,35.75,35,35.33,-4.92,26400,32,19
NP15 EZ Gen DA LMP Peak,2/10/2022 0:00,2/11/2022 0:00,2/12/2022 0:00,37,37,37,-12.13,1600,2,2
Palo Verde Peak,2/11/2022 0:00,2/14/2022 0:00,2/14/2022 0:00,30,30,30,3.64,2000,5,6
Nepool MH DA LMP Peak,2/11/2022 0:00,2/9/2022 0:00,2/9/2022 0:00,112,108,109.15,-20.62,21600,27,12
PJM WH Real Time Peak,2/11/2022 0:00,2/14/2022 0:00,2/14/2022 0:00,66,63,64.3,28.97,24000,30,20
Mid C Peak,2/11/2022 0:00,2/14/2022 0:00,2/14/2022 0:00,30,26,28.64,-1.15,9200,23,10
SP15 EZ Gen DA LMP Peak,2/14/2022 0:00,2/15/2022 0:00,2/15/2022 0:00,33,32,32.16,-2.34,7600,19,9
Nepool MH DA LMP Peak,2/14/2022 0:00,2/15/2022 0:00,2/15/2022 0:00,205,178,185.24,136.63,16800,20,12
Palo Verde Peak,2/14/2022 0:00,2/15/2022 0:00,2/15/2022 0:00,26,25,25.89,-4.11,3600,9,6
Mid C Peak,2/14/2022 0:00,2/15/2022 0:00,2/15/2022 0:00,29.75,28,29.08,0.44,5200,13,8
PJM WH Real Time Peak,2/14/2022 0:00,2/9/2022 0:00,2/9/2022 0:00,45.9,44,44.68,-9.8,20800,25,14
PJM WH Real Time Peak,2/14/2022 0:00,2/15/2022 0:00,2/15/2022 0:00,59.45,56,57.78,-6.52,8000,10,12
NP15 EZ Gen DA LMP Peak,2/14/2022 0:00,2/15/2022 0:00,2/15/2022 0:00,39,39,39,2,400,1,2
Palo Verde Peak,2/15/2022 0:00,2/16/2022 0:00,2/16/2022 0:00,30,29,29.2,3.31,2000,5,6
PJM WH Real Time Peak,2/15/2022 0:00,2/16/2022 0:00,2/16/2022 0:00,39.5,37.55,38.1,-19.68,6400,7,9
SP15 EZ Gen DA LMP Peak,2/15/2022 0:00,2/16/2022 0:00,2/16/2022 0:00,35,34,34.11,1.95,14400,17,7
Indiana Hub RT Peak,2/15/2022 0:00,2/9/2022 0:00,2/9/2022 0:00,50,50,50,-29,800,1,2
NP15 EZ Gen DA LMP Peak,2/15/2022 0:00,2/16/2022 0:00,2/16/2022 0:00,35.5,35.5,35.5,-3.5,400,1,2
Nepool MH DA LMP Peak,2/15/2022 0:00,2/16/2022 0:00,2/16/2022 0:00,77,69,73.24,-112,27200,31,19
Mid C Peak,2/15/2022 0:00,2/16/2022 0:00,2/16/2022 0:00,31,28,29.73,0.65,12800,32,12
Mid C Peak,2/16/2022 0:00,2/17/2022 0:00,2/18/2022 0:00,31,24.25,26.15,-3.58,35200,41,17
Nepool MH DA LMP Peak,2/16/2022 0:00,2/17/2022 0:00,2/17/2022 0:00,47,46,46.1,-27.14,27200,34,14
NP15 EZ Gen DA LMP Peak,2/16/2022 0:00,2/17/2022 0:00,2/18/2022 0:00,38,37.5,37.75,2.25,1600,2,4
PJM WH Real Time Peak,2/16/2022 0:00,2/17/2022 0:00,2/17/2022 0:00,36,35.1,35.58,-2.52,9600,11,12
Palo Verde Peak,2/16/2022 0:00,2/17/2022 0:00,2/18/2022 0:00,28,28,28,-1.2,3200,4,4
SP15 EZ Gen DA LMP Peak,2/16/2022 0:00,2/17/2022 0:00,2/18/2022 0:00,35,33.5,34.4,0.29,9600,12,10
PJM WH Real Time Peak,2/17/2022 0:00,2/18/2022 0:00,2/18/2022 0:00,48,45,45.95,10.37,16800,21,14
Nepool MH DA LMP Peak,2/17/2022 0:00,2/18/2022 0:00,2/18/2022 0:00,72,66,68.98,22.88,18400,23,17
Palo Verde Peak,2/17/2022 0:00,2/19/2022 0:00,2/19/2022 0:00,30,26,27.13,-0.87,3200,8,5
SP15 EZ Gen DA LMP Peak,2/17/2022 0:00,2/19/2022 0:00,2/19/2022 0:00,28,27.5,27.89,-6.51,9600,13,8
Mid C Peak,2/17/2022 0:00,2/19/2022 0:00,2/19/2022 0:00,23,21.5,22.08,-4.07,13600,33,11
Nepool MH DA LMP Peak,2/18/2022 0:00,2/21/2022 0:00,2/21/2022 0:00,70,67,68.2,-0.78,4000,5,8
Mid C Peak,2/18/2022 0:00,2/21/2022 0:00,2/22/2022 0:00,42,39,39.86,17.78,29600,37,13
PJM WH Real Time Peak,2/18/2022 0:00,2/21/2022 0:00,2/21/2022 0:00,46.25,45,45.36,-0.59,6400,8,8
Palo Verde Peak,2/18/2022 0:00,2/21/2022 0:00,2/22/2022 0:00,32,29.95,30.25,3.12,12000,13,10
SP15 EZ Gen DA LMP Peak,2/18/2022 0:00,2/21/2022 0:00,2/22/2022 0:00,35,34.5,34.86,6.97,11200,13,8
NP15 EZ Gen DA LMP Peak,2/18/2022 0:00,2/21/2022 0:00,2/22/2022 0:00,45,45,45,7.25,800,1,2
PJM WH Real Time Peak,2/21/2022 0:00,2/22/2022 0:00,2/22/2022 0:00,40,38.75,39.4,-5.96,4000,5,7
Mid C Peak,2/21/2022 0:00,2/9/2022 0:00,2/9/2022 0:00,36,34.75,35.38,-1.42,10400,26,9
PJM WH Real Time Peak,2/22/2022 0:00,2/23/2022 0:00,2/23/2022 0:00,48,45.5,46.32,6.92,5600,7,9
Mid C Peak,2/22/2022 0:00,2/23/2022 0:00,2/23/2022 0:00,84,76,79.61,39.75,20400,51,21
SP15 EZ Gen DA LMP Peak,2/22/2022 0:00,2/23/2022 0:00,2/23/2022 0:00,50,48,48.91,14.05,4400,9,10
Palo Verde Peak,2/22/2022 0:00,2/23/2022 0:00,2/23/2022 0:00,56,46,52.17,21.92,4800,12,10
Nepool MH DA LMP Peak,2/22/2022 0:00,2/23/2022 0:00,2/23/2022 0:00,47.5,46.5,46.74,-21.46,16000,20,10
NP15 EZ Gen DA LMP Peak,2/22/2022 0:00,2/23/2022 0:00,2/23/2022 0:00,61,61,61,16,800,2,3
Indiana Hub RT Peak,2/22/2022 0:00,2/23/2022 0:00,2/23/2022 0:00,54,53,53.5,3.5,1600,2,4
NP15 EZ Gen DA LMP Peak,2/23/2022 0:00,2/24/2022 0:00,2/24/2022 0:00,68,64,67.25,6.25,3200,8,6
Nepool MH DA LMP Peak,2/23/2022 0:00,2/24/2022 0:00,2/24/2022 0:00,112,108,110.68,63.94,16800,21,14
Palo Verde Peak,2/23/2022 0:00,2/24/2022 0:00,2/24/2022 0:00,54,49,51.83,-0.34,2400,6,7
PJM WH Real Time Peak,2/23/2022 0:00,2/24/2022 0:00,2/24/2022 0:00,64,64,64,17.68,800,1,2
Mid C Peak,2/23/2022 0:00,2/24/2022 0:00,2/24/2022 0:00,75,68.5,70.45,-9.16,25200,61,20
SP15 EZ Gen DA LMP Peak,2/23/2022 0:00,2/24/2022 0:00,2/24/2022 0:00,58,56,57.07,8.16,5600,14,9
SP15 EZ Gen DA LMP Peak,2/24/2022 0:00,2/25/2022 0:00,2/26/2022 0:00,45,44,44.25,-12.82,3200,4,4
Mid C Peak,2/24/2022 0:00,2/25/2022 0:00,2/26/2022 0:00,51,44,47.11,-23.34,24000,30,10
Nepool MH DA LMP Peak,2/24/2022 0:00,2/25/2022 0:00,2/25/2022 0:00,175,170,172.31,61.63,6400,8,8
PJM WH Real Time Peak,2/24/2022 0:00,2/25/2022 0:00,2/25/2022 0:00,65.75,62,64.24,0.24,3200,4,5
Palo Verde Peak,2/24/2022 0:00,2/25/2022 0:00,2/26/2022 0:00,37,35,36.5,-15.33,8800,11,7
NP15 EZ Gen DA LMP Peak,2/25/2022 0:00,2/28/2022 0:00,2/28/2022 0:00,48,48,48,-19.25,400,1,2
PJM WH Real Time Peak,2/25/2022 0:00,2/28/2022 0:00,2/28/2022 0:00,68.5,66,67.57,3.33,15200,14,11
Palo Verde Peak,2/25/2022 0:00,2/9/2022 0:00,2/9/2022 0:00,40,38,38.89,3.89,2000,5,7
