date,forecast,mean_se,lower_ci,upper_ci
2024-03-05,2.5707778354383204,2.977477737669933,-3.2649712951645475,8.406526966041188
2024-03-06,2.5707778354383204,2.9989256504053787,-3.3070084316695785,8.44856410254622
2024-03-07,2.5707778354383204,3.0202212559676123,-3.3487470516005273,8.490302722477168
2024-03-08,2.5707778354383204,3.0413677537150683,-3.3901934255846986,8.53174909646134
2024-03-09,2.5707778354383204,3.0623682325411323,-3.43135360774188,8.572909278618521
2024-03-10,2.5707778354383204,3.0832256761411996,-3.472233446007587,8.613789116884227
2024-03-11,2.5707778354383204,3.103942967961173,-3.5128385918319416,8.654394262708582
2024-03-12,2.5707778354383204,3.1245228958506406,-3.5531745092997293,8.69473018017637
2024-03-13,2.5707778354383204,3.1449681564419905,-3.5932464837133113,8.734802154589952
2024-03-14,2.5707778354383204,3.1652813592749363,-3.633059629676542,8.774615300553183
2024-03-15,2.5707778354383204,3.185465030684319,-3.6726188987147226,8.814174569591364
2024-03-16,2.5707778354383204,3.20552161746757,-3.7119290864626975,8.853484757339338
2024-03-17,2.5707778354383204,3.2254534903469256,-3.7509948394506645,8.892550510327306
2024-03-18,2.5707778354383204,3.245262947240242,-3.7898206615148635,8.931376332391505
2024-03-19,2.5707778354383204,3.264952216353201,-3.82841091985818,8.96996659073482
2024-03-20,2.5707778354383204,3.284523459104675,-3.866769850783759,9.0083255216604
2024-03-21,2.5707778354383204,3.303978772896127,-3.904901565122931,9.046457235999572
2024-03-22,2.5707778354383204,3.3233201937350927,-3.9428100533771366,9.084365724253777
2024-03-23,2.5707778354383204,3.342549698722027,-3.980499190592061,9.122054861468701
2024-03-24,2.5707778354383204,3.3616692084091158,-4.01797274098082,9.15952841185746
2024-03-25,2.5707778354383204,3.3806805890390224,-4.055234362311818,9.19679003318846
2024-03-26,2.5707778354383204,3.3995856546709464,-4.092287610075756,9.233843280952398
2024-03-27,2.5707778354383204,3.418386169200862,-4.129135941445213,9.270691612321853
2024-03-28,2.5707778354383204,3.4370838482822914,-4.165782719039303,9.307338389915943
2024-03-29,2.5707778354383204,3.4556803611535405,-4.202231214504986,9.343786885381627
2024-03-30,2.5707778354383204,3.474177332376907,-4.238484611925857,9.380040282802499
2024-03-31,2.5707778354383204,3.492576343494982,-4.274546011068438,9.416101681945078
2024-04-01,2.5707778354383204,3.5108789346088307,-4.310418430475343,9.451974101351984
2024-04-02,2.5707778354383204,3.5290866058825046,-4.346104810414088,9.48766048129073
